Address,City,Council District,County,Date evaluated,Demo Needed,Formatted Address,Inventory Type,Location 1,Market Value,Market Value Year,Neighborhood,Number of Bedrooms,Number of Full Baths,Parcel Number,Postal Code,Potential Use,Property Class,Property Condition,Property Status,School District,Sold Date,Square Footage,State,Structure Square Footage,Zoned As,blockgroup_id,lat,lng,nbh_id,nbh_name,police_division,police_division_id
2400 COLLEGE,KANSAS CITY,3rd,JACKSON,,N,"2400 Prospect Ave, Kansas City, MO 64127, USA",Land Bank,"2400 COLLEGE
KANSAS CITY, MO 64127
(39.082784, -94.544358)",2600.0,2019.0,Washington Wheatley,,,JA28430150100000000,64127,,Residential Vacant,Vacant lot or land - little or no use,Acquired,KANSAS CITY MISSOURI 110,,6219.279896,MO,,R-2.5,290950166001,39.0823426,-94.5525681,27,Wendell Phillips,East,3
8431 Lydia Ave,Kansas City,5th,Jackson,,N,"8431 Lydia Ave, Kansas City, MO 64131, USA",Land Bank,"8431 Lydia Ave
Kansas City, MO 64131
(38.974075, -94.571906)",6386.0,2012.0,Marlborough Heights/Marlborough Pride,,,JA48120151000000000,64131,Assemblage,Residential Vacant,Vacant lot or land - little or no use,Disposed,Center 120,04/07/2016,7696.9084379999995,MO,,R-6,290950095002,38.974062,-94.5715929,129,Marlborough Heights/Marlborough Pride,Metro,2
4046 Bellefontaine Ave,Kansas City,3rd,Jackson,,N,"4046 Bellefontaine Ave, Kansas City, MO 64130, USA",Land Bank,"4046 Bellefontaine Ave
Kansas City, MO 64130
(39.05175, -94.548083)",2850.0,2019.0,Oak Park Southwest,,,JA31330131800000000,64130,Side Yard,Residential Vacant,Vacant lot or land - usable,Acquired,Kansas City Missouri 110,,5557.71229167,MO,,R-2.5,290950061001,39.051773,-94.54839299999999,59,Oak Park Southwest,East,3
3212 Myrtle,KANSAS CITY,3rd,JACKSON,,N,"3212 Myrtle Ave, Kansas City, MO 64128, USA",Land Bank,,350.0,2019.0,Palestine East,,,JA28940092502000000,64128,,Residential Vacant,Vacant lot or land - little or no use,Acquired,KANSAS CITY MISSOURI 110,,645.922967,MO,,R-1.5,290950057001,39.0669829,-94.53731549999999,62,Palestine East,East,3
3137 Elmwood Ave,Kansas City,3rd,Jackson,05/28/2014,Y,"3137 Elmwood Ave, Kansas City, MO 64128, USA",Land Bank,"3137 Elmwood Ave
Kansas City, MO 64128
(39.06774, -94.529913)",2350.0,2019.0,Knoches Park,,,JA28830051500000000,64128,Affordable Housing,Residential Vacant,Vacant lot or land - usable,Acquired,Kansas City Missouri 110,,4239.047257,MO,,R-1.5,290950058013,39.0677522,-94.5296704,64,Knoches Park,East,3
6016 E 17th St,Kansas City,3rd,Jackson,,N,"6016 E 17th St, Kansas City, MO 64126, USA",Land Bank,"6016 E 17th St
Kansas City, MO 64126
(39.090262, -94.511661)",5209.0,2012.0,West Blue Valley,,,JA28130301400000000,64126,Side Yard,Residential Vacant,Vacant lot or land - usable,Disposed,Kansas City Missouri 110,06/28/2016,4073.668646,MO,,R-2.5,290950021004,39.090535,-94.511707,33,West Blue Valley,East,3
3206 E 26th St,Kansas City,3rd,Jackson,,N,"3206 E 26th St, Kansas City, MO 64127, USA",Land Bank,"3206 E 26th St
Kansas City, MO 64127
(39.078682, -94.545472)",2050.0,2019.0,Washington Wheatley,,,JA28430322200000000,64127,Assemblage,Residential Vacant,Vacant lot or land - usable,Acquired,Kansas City Missouri 110,,3652.9774310000003,MO,,R-2.5,290950037001,39.07893920000001,-94.5453404,28,Washington Wheatley,East,3
5702 PARK AVE,KANSAS CITY,5TH,JACKSON,,N,"5702 Park Ave, Kansas City, MO 64130, USA",LAND BANK,"5702 PARK AVE
KANSAS CITY, MO 64128
(39.022791, -94.558915)",7450.0,2019.0,Blue Hills,,,30-740-20-37-00-0-00-000,64130,,Residential Vacant,Vacant lot or land - usable,ACQUIRED,KANSAS CITY MISSOURI 110,,4400.17,MO,,R-6,290950080002,39.02287,-94.55923299999999,119,Blue Hills,Metro,2
4443 BROOKLYN AVE,Kansas City,3rd,Jackson,,N,"4443 Brooklyn Ave, Kansas City, MO 64130, USA",KCMHA,"4443 BROOKLYN AVE
Kansas City, MO 64130.0
(39.04526, -94.558816)",9950.0,2019.0,Ivanhoe Southeast,,,30-610-13-08-00-0-00-000,64130,,Residential Vacant,Vacant lot or land - usable,Acquired,KANSAS CITY MISSOURI 110,,4434.30680556,MO,,R-2.5,290950063002,39.045245,-94.558424,54,Ivanhoe Southeast,Central,1
3319 E 24TH TER,Kansas City,3rd,Jackson,04/01/2015,Y,"3319 E 24th Terrace, Kansas City, MO 64127, USA",Land Bank,"3319 E 24TH TER
Kansas City, MO 64127
(39.0817, -94.543396)",1768.0,2017.0,Washington Wheatley,,,JA28430170100000000,64127,Assemblage,Residential Vacant,Vacant lot or land - usable,Disposed,KANSAS CITY MISSOURI 110,12/28/2017,4878.078924,MO,,B4-2,290950037001,39.0815534,-94.54344560000001,28,Washington Wheatley,East,3
2509  BALES AVE,Kansas City,3rd,Jackson,,N,"2509 Bales Ave, Kansas City, MO 64127, USA",Land Bank,"2509  BALES AVE
Kansas City, MO 64127
(39.079956, -94.541984)",1674.0,2017.0,Washington Wheatley,,,JA28440210900000000,64127,Affordable Housing,Residential Vacant,Vacant lot or land - usable,Disposed,KANSAS CITY MISSOURI 110,12/21/2017,4267.324375,MO,,R-2.5,290950165003,39.0799527,-94.541794,28,Washington Wheatley,East,3
2037 College,Kansas City,3rd,Jackson,,N,"1924 Van Brunt Blvd, Kansas City, MO 64127, USA",Land Bank,"2037 College
Kansas City, MO 64127
(39.086698, -94.544535)",2250.0,2019.0,Washington Wheatley,,,JA28420301000000000,64127,Side Yard,Residential Vacant,Vacant lot or land - usable,Acquired,Kansas City Missouri 110,,2980.4325,MO,,R-2.5,290950022003,39.0880869,-94.5208747,29,East Community Team North,East,3
2619 E 8th St,Kansas City,3rd,Jackson,,N,"2619 E 8th St, Kansas City, MO 64124, USA",Land Bank,"2619 E 8th St
Kansas City, MO 64124
(39.103464, -94.550302)",1480.0,2012.0,Independence Plaza,,,JA28320131700000000,64124,Side Yard,Residential Vacant,Vacant lot or land - usable,Disposed,Kansas City Missouri 110,05/18/2016,5590.012257,MO,,R-6,290950018002,39.103204,-94.55040299999999,16,Independence Plaza,East,3
5528  PARK AVE,Kansas City,5th,Jackson,,N,"5528 Park Ave, Kansas City, MO 64130, USA",Land Bank,"5528  PARK AVE
Kansas City, MO 64130
(39.025526, -94.558748)",615.0,2014.0,Blue Hills,,,JA30740042500000000,64130,Side Yard,Residential Vacant,Vacant lot or land - little or no use,Disposed,KANSAS CITY MISSOURI 110,04/01/2016,4856.160903,MO,,R-6,290950080002,39.02556999999999,-94.559057,119,Blue Hills,Metro,2
4911 WOODLAND AVE,Kansas City,3rd,Jackson,,N,"4911 Woodland Ave, Kansas City, MO 64110, USA",KCMHA,"4911 WOODLAND AVE
Kansas City, MO 64130.0
(39.037077, -94.563897)",7850.0,2019.0,Blue Hills,,,30-640-26-07-00-0-00-000,64110,,Residential Vacant,Vacant lot or land - usable,Acquired,KANSAS CITY MISSOURI 110,,4637.21944444,MO,,R-6,290950076001,39.037101,-94.563542,119,Blue Hills,Metro,2
3230 Lockridge St,Kansas City,3rd,Jackson,,N,"3230 Lockridge Ave, Kansas City, MO 64128, USA",Land Bank,"3230 Lockridge St
Kansas City, MO 64128
(39.075683, -94.544399)",3450.0,2019.0,Santa Fe,,,JA28920013000000000,64128,Side Yard,Residential Vacant,Vacant lot or land - usable,Acquired,Kansas City Missouri 110,,6143.295,MO,,R-5,290950038001,39.075962,-94.544492,57,Santa Fe,East,3
2202 E 30TH ST,KANSAS CITY,3rd,JACKSON,,N,"2202 E 30th St, Kansas City, MO 64109, USA",Land Bank,"2202 E 30TH ST
KANSAS CITY, MO 64109
(39.071812, -94.557128)",2268.0,2017.0,Key Coalition,,,JA29710141400000000,64109,,Residential Vacant,Vacant lot or land - usable,Disposed,KANSAS CITY MISSOURI 110,09/17/2018,2682.721806,MO,,R-1.5,290950166002,39.072038,-94.557081,56,Key Coalition,Central,1
2733 Vine St,Kansas City,3rd,Jackson,,N,"2733 Vine St, Kansas City, MO 64109, USA",Land Bank,"2733 Vine St
Kansas City, MO 64109
(39.076377, -94.564087)",836.0,2012.0,Mount Hope,,,JA29720021000000000,64109,Side Yard,Commercial Vacant,Vacant lot or land - usable,Disposed,Kansas City Missouri 110,09/12/2014,2987.1893059999998,MO,,B1-1,290950162002,39.0763,-94.563771,51,Mount Hope,Central,1
4633 South Benton Ave,Kansas City,3rd,Jackson,03/06/2014,N,"4633 S Benton Ave, Kansas City, MO 64130, USA",Land Bank,"4633 South Benton Ave
Kansas City, MO 64130
(39.041515, -94.551095)",21104.0,2019.0,Oak Park Southwest,,,JA31420261300000000,64130,,Residential Vacant,Vacant lot or land - usable,Acquired,Kansas City Missouri 110,,3906.340486,MO,,R-2.5,290950061003,39.0414963,-94.5508986,59,Oak Park Southwest,East,3
5524 E 27th St,Kansas City,3rd,Jackson,,N,"5524 E 27th St, Kansas City, MO 64127, USA",Land Bank,"5524 E 27th St
Kansas City, MO 64127
(39.075981, -94.518195)",3350.0,2019.0,South Blue Valley,,,JA28540242200000000,64127,,Residential Vacant,Vacant lot or land - usable,Acquired,Kansas City Missouri 110,,6447.311701,MO,,R-2.5,290950034001,39.076229,-94.5181489,31,South Blue Valley,East,3
4915 PARK AVE,Kansas City,3rd,Jackson,,N,"4915 Park Ave, Kansas City, MO 64130, USA",KCMHA,"4915 PARK AVE
Kansas City, MO 64130.0
(39.037015, -94.558054)",8700.0,2019.0,Blue Hills,,,30-640-21-07-00-0-00-000,64130,,Residential Vacant,Vacant lot or land - usable,Acquired,KANSAS CITY MISSOURI 110,,5151.63135417,MO,,R-6,290950076001,39.037,-94.557739,119,Blue Hills,Metro,2
4405 WABASH AVE,Kansas City,3rd,Jackson,,N,"4405 Wabash Ave, Kansas City, MO 64130, USA",KCMHA,"4405 WABASH AVE
Kansas City, MO 64130.0
(39.046253, -94.555241)",9600.0,2019.0,Ivanhoe Southeast,,,30-610-16-04-00-0-00-000,64130,Affordable Housing,Residential Vacant,Vacant lot or land - usable,Acquired,KANSAS CITY MISSOURI 110,,4272.714028,MO,,R-2.5,290950063002,39.0461713,-94.55500819999999,54,Ivanhoe Southeast,Central,1
2832 BELLAIRE AVE,Kansas City,3rd,Jackson,,N,"2832 Bellaire Ave, Kansas City, MO 64129, USA",Land Bank,"2832 BELLAIRE AVE
Kansas City, MO 64128
(39.073363, -94.514688)",3600.0,2019.0,South Blue Valley,,,JA28720051200000000,64129,"Assemblage, Side Yard",Residential Vacant,Vacant lot or land - usable,Acquired,KANSAS CITY MISSOURI 110,,6442.114063,MO,,R-2.5,290950163001,39.073141,-94.51499899999999,31,South Blue Valley,East,3
4011 E 8TH ST,KANSAS CITY,3rd,JACKSON,,N,"4011 E 8th St, Kansas City, MO 64124, USA",Land Bank,"4011 E 8TH ST
KANSAS CITY, MO 64124
(39.102914, -94.534574)",1480.0,2015.0,Lykins,,,JA28310190100000000,64124,,Residential Vacant,Vacant lot or land - usable,Disposed,KANSAS CITY MISSOURI 110,11/15/2019,7905.598507,MO,,R-2.5,290950019004,39.102664,-94.534593,17,Lykins,East,3
5423 COLLEGE AVE,Kansas City,5th,Jackson,12/27/2013,N,"5423 College Ave, Kansas City, MO 64130, USA",KCMHA,"5423 COLLEGE AVE
Kansas City, MO 64130.0
(39.027373, -94.546834)",8650.0,2019.0,North Town Fork Creek,,,31-920-30-04-00-0-00-000,64130,,Residential Vacant,Vacant lot or land - usable,Acquired,KANSAS CITY MISSOURI 110,,5920.561424,MO,,R-2.5,290950077002,39.027207,-94.5466579,118,North Town Fork Creek,Metro,2
2447 Bales Ave,KANSAS CITY,3rd,JACKSON,,N,"2447 Bales Ave, Kansas City, MO 64127, USA",Land Bank,"2447 Bales Ave
KANSAS CITY, MO 64127
(39.081182, -94.541924)",7312.0,2018.0,Washington Wheatley,,,JA28440180800000000,64127,"Assemblage, Infill construction, Side Yard",Residential Vacant,Vacant lot or land - usable,Disposed,KANSAS CITY MISSOURI 110,07/31/2019,4256.79,MO,,R-2.5,290950165003,39.0811741,-94.54171339999999,28,Washington Wheatley,East,3
3035 Chelsea Ave,Kansas City,3rd,Jackson,,N,"3035 Chelsea Ave, Kansas City, MO 64128, USA",Land Bank,"3035 Chelsea Ave
Kansas City, MO 64128
(39.069463, -94.527749)",2450.0,2019.0,Knoches Park,,,JA28820322800000000,64128,Side Yard,Residential Vacant,Vacant lot or land - usable,Acquired,Kansas City Missouri 110,,4380.35770833,MO,,R-2.5,290950164001,39.069528,-94.52745499999999,64,Knoches Park,East,3
5800 Agnes Ave,Kansas City,5th,Jackson,03/13/2014,N,"5800 Agnes Ave, Kansas City, MO 64130, USA",Land Bank,"5800 Agnes Ave
Kansas City, MO 64130
(39.019809, -94.551133)",16600.0,2019.0,North Town Fork Creek,,,JA31930294300000000,64130,"Public Green Space, Public Purpose, Urban Agriculture",Residential Vacant,Vacant lot or land - usable,Acquired,Kansas City Missouri 110,,19664.3175,MO,,R-2.5,290950079003,39.0199939,-94.551414,118,North Town Fork Creek,Metro,2
2038 Chelsea Ave,Kansas City,3rd,Jackson,,N,"2038 Chelsea Ave, Kansas City, MO 64127, USA",Land Bank,"2038 Chelsea Ave
Kansas City, MO 64127
(39.085523, -94.526509)",5400.0,2019.0,East Community Team North,,,JA28520342600000000,64127,Urban Agriculture,Residential Vacant,Vacant lot or land - usable,Acquired,Kansas City Missouri 110,,11999.3749653,MO,,R-2.5,290950022003,39.085531,-94.52679499999999,29,East Community Team North,East,3
