Parcel Number,Property Class,Property Status,Inventory Type,Zoned As,Address,City,State,Postal Code,County,Neighborhood,Council District,Sold Date,School District,Potential Use,Demo Needed,Market Value Year,Market Value,Square Footage,Property Condition,Structure Square Footage,Number of Bedrooms,Number of Full Baths,Date evaluated,Location 1
JA48120202500000000,Residential Vacant,Acquired,Land Bank,R-6,8504 Highland Ave,Kansas City,MO,64131,Jackson,Legacy East,5th,,Center 120,,N,2019,15700,14076.854306,Vacant lot or land - usable,,,,,"8504 Highland Ave
Kansas City, MO 64131
(38.972886, -94.568543)"
30-610-14-36-00-0-00-000,Residential Vacant,Acquired,KCMHA,R-2.5,4443 PARK AVE,Kansas City,MO,64130.0,Jackson,Ivanhoe Southeast,3rd,,KANSAS CITY MISSOURI 110,,N,2019,16750,9014.42819444,Vacant lot or land - usable,,,,,"4443 PARK AVE
Kansas City, MO 64130.0
(39.044974, -94.557655)"
JA31930151400000000,Residential Vacant,Acquired,Land Bank,R-2.5,5611 JAUDON AVE,KANSAS CITY,MO,64130,JACKSON,North Town Fork Creek,5th,,KANSAS CITY MISSOURI 110,,N,2019,5800,4491.74708333,Awaiting evaluation,,,,,"5611 JAUDON AVE
KANSAS CITY, MO 64130
(39.024417, -94.550146)"
JA28440012000000000,Commercial Vacant,Acquired,Land Bank,B3-2,2330 JACKSON AVE,KANSAS CITY,MO,64127,JACKSON,East Community Team South,3rd,,KANSAS CITY MISSOURI 110,,N,2019,6900,4800.036528,Vacant lot or land - usable,,,,,"2330 JACKSON AVE
KANSAS CITY, MO 64127
(39.082628, -94.533791)"
JA31410071200000000,Residential Vacant,Acquired,Land Bank,R-2.5,4345 Bales Ave,Kansas City,MO,64130,Jackson,Oak Park Southeast,3rd,,Kansas City Missouri 110,"Assemblage, Side Yard",Y,2019,3100,5549.482292,Vacant lot or land - little or no use,,,,05/30/2014,"4345 Bales Ave
Kansas City, MO 64130
(39.046287, -94.543679)"
JA28920031400000000,Residential Improved,Disposed,Land Bank,R-1.5,2707 E 27TH ST,KANSAS CITY,MO,64128,JACKSON,Santa Fe,3rd,01/17/2018,KANSAS CITY MISSOURI 110,Affordable Housing,N,2015,25006,4502.109167,Structure - fair condition,,,1,,"2707 E 27TH ST
KANSAS CITY, MO 64128
(39.077045, -94.550876)"
JA32530100100000000,Residential Vacant,Acquired,Land Bank,R-7.5,8821 E 49TH ST,KANSAS CITY,MO,64129,Jackson,Eastwood Hills East,3rd,,RAYTOWN 150,"Infill construction, Urban Agriculture",N,2019,15950,13316.067014,Vacant lot or land - usable,,,,12/31/2013,"8821 E 49TH ST
KANSAS CITY, MO 64129
(39.034731, -94.478454)"
JA28940213400000000,Residential Vacant,Disposed,Land Bank,R-2.5,3414 Askew,Kansas City,MO,64128,Jackson,Palestine West And Oak Park Northeast,3rd,11/05/2015,KANSAS CITY MISSOURI 110,Side Yard,N,2014,426,2704.198576,Vacant lot or land - usable,,,,12/17/2014,"3414 Askew
Kansas City, MO 64128
(39.063828, -94.541688)"
JA28420192600000000,Residential Vacant,Disposed,Land Bank,R-1.5,2019 BENTON BLVD,KANSAS CITY,MO,64127,Jackson,Washington Wheatley,3rd,04/10/2015,KANSAS CITY MISSOURI 110,"Assemblage, Infill construction",N,2012,1702,5155.753507,Vacant lot or land - usable,,,,03/05/2014,"2019 BENTON BLVD
KANSAS CITY, MO 64127
(39.087241, -94.54969)"
JA28540154700000000,Residential Vacant,Acquired,Land Bank,R-2.5,2417 Oakley Ave,Kansas City,MO,64127,Jackson,South Blue Valley,3rd,,Kansas City Missouri 110,Infill construction,N,2019,3550,47159.0778125,Vacant lot or land - usable,,,,,"2417 Oakley Ave
Kansas City, MO 64127
(39.080126, -94.517781)"
JA31320270700000000,Residential Vacant,Acquired,Land Bank,R-2.5,3809 BENTON BLVD,KANSAS CITY,MO,64128,JACKSON,Oak Park Northwest,3rd,,KANSAS CITY MISSOURI 110,,N,2019,2550,5375.60184,Vacant lot or land - usable,,,,,"3809 BENTON BLVD
KANSAS CITY, MO 64128
(39.056533, -94.546654)"
JA31710050100000000,Residential Vacant,Acquired,Land Bank,R-7.5,5126 Eastern Ave,Kansas City,MO,64129,Jackson,Eastwood Hills East,3rd,,Raytown 150,Infill construction,N,2019,13900,18675.8735417,Vacant lot or land - usable,,,,,"5126 Eastern Ave
Kansas City, MO 64129
(39.030745, -94.499033)"
JA31210111300000000,Residential Vacant,Acquired,Land Bank,R-2.5,3624  OAKLEY AVE,Kansas City,MO,64128,Jackson,Dunbar,3rd,,KANSAS CITY MISSOURI 110,,N,2019,4600,9740.208924,Vacant lot or land - usable,,,,,"3624  OAKLEY AVE
Kansas City, MO 64128
(39.058686, -94.518733)"
JA28440321700000000,Commercial Vacant,Acquired,Land Bank,B3-2,2637  MONROE AVE,Kansas City,MO,64127,Jackson,Washington Wheatley,3rd,,KANSAS CITY MISSOURI 110,Assemblage,N,2019,2150,3815.507431,Vacant lot or land - usable,,,,,"2637  MONROE AVE
Kansas City, MO 64127
(39.077063, -94.539833)"
JA46410061702000000,Residential Vacant,Acquired,Land Bank,R-5,6730 Bales Ave,Kansas City,MO,64132,Jackson,Self Help Neighborhood Council,5th,,Kansas City Missouri 110,,N,2019,750,519.023993,Vacant lot or land - little or no use,,,,,"6730 Bales Ave
Kansas City, MO 64132
(39.003776, -94.546115)"
JA31330220800000000,Residential Vacant,Reserved,Land Bank,R-2.5,4119 PROSPECT AVE,KANSAS CITY,MO,64130,Jackson,Oak Park Southwest,3rd,,KANSAS CITY MISSOURI 110,Public Purpose,N,2019,2500,4481.554861,Vacant lot or land - usable,,,,,"4119 PROSPECT AVE
KANSAS CITY, MO 64130
(39.051123, -94.55382)"
JA31410140100000000,Residential Vacant,Acquired,KCMHA,R-2.5,4400  Myrtle Avenue,Kansas City,MO,64130.0,Jackson,Vineyard Northwest,3rd,,Kansas City Missouri 110,,N,2019,3700,6638,,,,,,"4400  Myrtle Avenue
Kansas City, MO 64130.0
(39.045727, -94.537954)"
JA28830032500000000,Residential Vacant,Acquired,Land Bank,R-2.5,3126 Poplar Ave,Kansas City,MO,64128,Jackson,Knoches Park,3rd,,Kansas City Missouri 110,Side Yard,N,2019,2500,4436.54083333,Vacant lot or land - usable,,,,,"3126 Poplar Ave
Kansas City, MO 64128
(39.067892, -94.526803)"
JA46420191900000000,Residential Vacant,Acquired,Land Bank,R-5,6938 WALROND AVE,KANSAS CITY,MO,64132,JACKSON,Self Help Neighborhood Council,5th,,KANSAS CITY MISSOURI 110,,N,2019,8200,2343.61364583,Awaiting evaluation,,,,,"6938 WALROND AVE
KANSAS CITY, MO 64132
(38.999887, -94.549808)"
JA29640032900000000,RESIDENTIAL VACANT,Reserved,KCMHA,R-1.5,2311 Park,KANSAS CITY,MO,64127.0,JACKSON,Wendell Phillips,3rd,09/13/2016,KANSAS CITY MISSOURI 110,,N,2019,15150,7992.81,Vacant lot or land - usable,,,,,"2311 Park
KANSAS CITY, MO 64127.0
(39.084004, -94.555604)"
JA31830110400000000,Residential Vacant,Acquired,Land Bank,R-2.5,4228 E 57th terrace,Kansas City,MO,64118,Jackson,Swope Parkway-Elmwood,5th,,Kansas City Missouri 110,Commercial Use,N,2019,9700,7824.35236111,Vacant lot or land - little or no use,,,,,
JA28440111400000000,Residential Vacant,Disposed,Land Bank,R-2.5,2428 Cleveland Ave,Kansas City,MO,64127,Jackson,East Community Team South,3rd,04/10/2017,Kansas City Missouri 110,Side Yard,N,2012,302,4009.6075,Vacant lot or land - usable,,,,,"2428 Cleveland Ave
Kansas City, MO 64127
(39.081648, -94.538457)"
JA28530186702000000,Residential Vacant,Acquired,Land Bank,R-2.5,2542 Brighton,Kansas City,MO,64127,Jackson,East Community Team South,3rd,,Kansas City Missouri 110,Side Yard,N,2019,1600,2815.19177083,Vacant lot or land - usable,,,,,"2542 Brighton
Kansas City, MO 64127
(39.07834, -94.524766)"
JA30620142300000000,Residential Vacant,Acquired,Land Bank,R-2.5,4418  WAYNE AVE,Kansas City,MO,64110,Jackson,Ivanhoe Southwest,3rd,,KANSAS CITY MISSOURI 110,,N,2019,10650,4718,Vacant lot or land - usable,,,,,"4418  WAYNE AVE
Kansas City, MO 64110
(39.045859, -94.565736)"
JA31330012100000000,Residential Improved,Disposed,Land Bank,R-2.5,3940 INDIANA AVE,Kansas City,MO,64110,Jackson,Oak Park Southeast,3rd,09/29/2017,KANSAS CITY MISSOURI 110,Affordable Housing,N,2015,20542,5391.208889,Structure - fair condition,1140,3,1,12/03/2015,"3940 INDIANA AVE
Kansas City, MO 64110
(39.053599, -94.544451)"
JA31220150200000000,Residential Improved,Disposed,Land Bank,R-2.5,3701 VINEYARD RD,KANSAS CITY,MO,64128,JACKSON,Knoches Park,3rd,05/08/2018,KANSAS CITY MISSOURI 110,,N,2015,27136,4273.899306,Structure - fair condition,,,1,,"3701 VINEYARD RD
KANSAS CITY, MO 64128
(39.057199, -94.527924)"
JA31410050400000000,Residential Vacant,Disposed,Land Bank,R-2.5,4307 MONROE AVE,KANSAS CITY,MO,64130,JACKSON,Oak Park Southeast,3rd,03/06/2019,KANSAS CITY MISSOURI 110,,N,2015,1702,53937.294201,Awaiting evaluation,,,,,"4307 MONROE AVE
KANSAS CITY, MO 64130
(39.047449, -94.541309)"
JA13920221000000000,Residential Vacant,Disposed,Land Bank,R-7.5,101 N GLADSTONE BLVD,KANSAS CITY,MO,64123,Jackson,Scarritt Point,4th,04/29/2014,KANSAS CITY MISSOURI 110,Public Green Space,N,2012,7120,7573.841771,Vacant lot or land - usable,,,,,"101 N GLADSTONE BLVD
KANSAS CITY, MO 64123
(39.113579, -94.544045)"
JA28420390900000000,Residential Vacant,Disposed,Land Bank,R-2.5,2219 MONTGALL AVE,KANSAS CITY,MO,64127,Jackson,Washington Wheatley,3rd,05/31/2017,KANSAS CITY MISSOURI 110,Side Yard,Y,2012,8176,4093.370104,Vacant lot or land - usable,,,,,"2219 MONTGALL AVE
KANSAS CITY, MO 64127
(39.084747, -94.550968)"
JA28620041100000000,Residential Vacant,Disposed,Land Bank,R-2.5,5906 E 18th St,Kansas City,MO,64126,Jackson,West Blue Valley,3rd,09/12/2018,Kansas City Missouri 110,,N,2012,5637,18030.149861,Vacant lot or land - usable,,,,,"5906 E 18th St
Kansas City, MO 64126
(39.089086, -94.513036)"
JA31320332300000000,Residential Vacant,Disposed,Land Bank,R-2.5,3830 Montgall Ave,Kansas City,MO,64128,Jackson,Oak Park Northwest,3rd,12/19/2019,Kansas City Missouri 110,Infill construction,N,2019,2150,3863.845764,Vacant lot or land - usable,,,,,"3830 Montgall Ave
Kansas City, MO 64128
(39.056136, -94.552397)"
JA31410063000000000,Residential Vacant,Acquired,Land Bank,R-2.5,3601 E 43rd St,KANSAS CITY,MO,64130,JACKSON,Oak Park Southeast,3rd,,KANSAS CITY MISSOURI 110,,N,2020,5350,11717.54,,,,,,"3601 E 43rd St
KANSAS CITY, MO 64130
(39.0478, -94.542126)"
JA29610232600000000,Residential Vacant,Acquired,KCMHA,R-1.5,2012  Wabash Avenue,Kansas City,MO,64127.0,Jackson,Wendell Phillips,3rd,,Kansas City Missouri 110,,N,2019,9500,3799,,,,,,"2012  Wabash Avenue
Kansas City, MO 64127.0
(39.087459, -94.553171)"
JA45430182200000000,Residential Vacant,Disposition in Process,Land Bank,R-7.5,7445 Hullwood Ave,Kansas City,MO,64133,Jackson,Park Farms,5th,,Raytown 150,"Assemblage, Public Purpose",N,2019,12850,12275.342188,Vacant lot or land - usable,,,,,"7445 Hullwood Ave
Kansas City, MO 64133
(38.988539, -94.499856)"
JA29610300100000000,Residential Vacant,Disposed,Land Bank,R-1.5,2221 E 21ST ST,KANSAS CITY,MO,64127,JACKSON,Wendell Phillips,3rd,05/16/2018,KANSAS CITY MISSOURI 110,,N,2015,237,6023.453681,Vacant lot or land - usable,,,,,"2221 E 21ST ST
KANSAS CITY, MO 64127
(39.086842, -94.555663)"
JA28110162400000000,Commercial Vacant,Acquired,Land Bank,B4-5,900 WINCHESTER AVE,KANSAS CITY,MO,64126,Jackson,Sheffield,4th,,KANSAS CITY MISSOURI 110,,N,2019,21900,15490.986944,Vacant lot or land - usable,,,,,"900 WINCHESTER AVE
KANSAS CITY, MO 64126
(39.100665, -94.500644)"
JA31330092200000000,Residential Vacant,Acquired,Land Bank,R-2.5,4026 Montgall Ave,Kansas City,MO,64130,Jackson,Oak Park Southwest,3rd,,Kansas City Missouri 110,Assemblage,N,2019,2500,4507.04513889,Vacant lot or land - usable,,,,,"4026 Montgall Ave
Kansas City, MO 64130
(39.052218, -94.5526)"
JA30610213100000000,Residential Vacant,Acquired,Land Bank,R-2.5,4534  BROOKLYN AVE (APPROX),Kansas City,MO,64130,Jackson,Ivanhoe Southeast,3rd,,KANSAS CITY MISSOURI 110,Public Purpose,N,2019,7200,19150.1900668,Vacant lot or land - little or no use,,,,,"4534  BROOKLYN AVE (APPROX)
Kansas City, MO 64130
(39.044142, -94.558878)"
JA31320010900000000,Residential Improved,Acquired,Land Bank,R-2.5,3515  COLLEGE AVE,Kansas City,MO,64128,Jackson,Oak Park Northwest,3rd,,KANSAS CITY MISSOURI 110,Affordable Housing,N,2019,21471,4501.982188,Structure - fair condition,1192,3,1,10/28/2014,"3515  COLLEGE AVE
Kansas City, MO 64128
(39.061776, -94.545184)"
JA28130242700000000,Residential Vacant,Acquired,Land Bank,R-2.5,6436 E 16TH ST,Kansas City,MO,64126,Jackson,East Blue Valley,3rd,,KANSAS CITY MISSOURI 110,"Assemblage, Side Yard",Y,2019,2250,3977.030833,Vacant lot or land - usable,,,,12/30/2014,"6436 E 16TH ST
Kansas City, MO 64126
(39.091955, -94.506339)"
JA28420420500000000,Residential Vacant,Disposed,Land Bank,R-2.5,3019 E 22nd St,Kansas City,MO,64127,Jackson,Washington Wheatley,3rd,12/19/2017,Kansas City Missouri 110,Assemblage,N,2012,1872,5948.662813,Vacant lot or land - usable,,,,,"3019 E 22nd St
Kansas City, MO 64127
(39.085462, -94.546693)"
JA28540152000000000,Residential Vacant,Acquired,Land Bank,R-2.5,5609 E 24th St,Kansas City,MO,64127,Jackson,South Blue Valley,3rd,,Kansas City Missouri 110,Affordable Housing,N,2019,1700,3000.189097,Vacant lot or land - usable,,,,08/27/2014,"5609 E 24th St
Kansas City, MO 64127
(39.081046, -94.517202)"
JA47730150700000000,Residential Vacant,Disposed,Land Bank,R-6,8113 Highland Ave,Kansas City,MO,64131,Jackson,Marlborough Heights/Marlborough Pride,5th,11/01/2017,Center 120,"Assemblage, Urban Agriculture",N,2012,16789,6823.611181,Vacant lot or land - usable,,,1,03/18/2014,"8113 Highland Ave
Kansas City, MO 64131
(38.980184, -94.568202)"
JA28930070600000000,Residential Vacant,Disposed,Land Bank,R-2.5,3035 E 32nd St,Kansas City,MO,64128,Jackson,Santa Fe,3rd,02/29/2016,Kansas City Missouri 110,"Assemblage, Urban Agriculture",N,2012,1702,4300.024132,Vacant lot or land - usable,,,,,"3035 E 32nd St
Kansas City, MO 64128
(39.068773, -94.54678)"
JA28110119100000000,RESIDENTIAL VACANT,ACQUIRED,Land Bank,R-2.5,629 Ewing Ave,KANSAS CITY,MO,64125.0,JACKSON,Sheffield,4th,,KANSAS CITY MISSOURI 110,,N,2019,6700,6906.58,Awaiting evaluation,,,,,"629 Ewing Ave
KANSAS CITY, MO 64125.0
(39.103585, -94.502795)"
JA28930250700000000,Residential Vacant,Disposed,Land Bank,R-2.5,3407 COLLEGE AVE,KANSAS CITY,MO,64128,Jackson,Oak Park Northwest,3rd,06/30/2017,KANSAS CITY MISSOURI 110,,Y,2012,22271,4072.630347,Vacant lot or land - usable,,,,,"3407 COLLEGE AVE
KANSAS CITY, MO 64128
(39.063806, -94.545078)"
JA31320222200000000,Residential Improved,Disposed,Land Bank,R-2.5,3743 AGNES AVE,KANSAS CITY,MO,64128,Jackson,Oak Park Northwest,3rd,05/24/2016,KANSAS CITY MISSOURI 110,Affordable Housing,N,2012,23226,3669.55875,Structure - fair condition,1440,3,1,04/08/2015,"3743 AGNES AVE
KANSAS CITY, MO 64128
(39.057194, -94.548885)"
30-710-31-24-00-0-00-000,Residential Vacant,Acquired,KCMHA,R-6,5434 WABASH AVE,Kansas City,MO,64130.0,Jackson,Blue Hills,5th,,KANSAS CITY MISSOURI 110,,N,2019,10000,6527.288924,Vacant lot or land - usable,,,,,"5434 WABASH AVE
Kansas City, MO 64130.0
(39.02706, -94.556308)"
JA28520240400000000,Residential Vacant,Acquired,Land Bank,R-2.5,4505 E 19th St,Kansas City,MO,64127,Jackson,East Community Team North,3rd,,Kansas City Missouri 110,Side Yard,Y,2019,1800,3167.73441,Vacant lot or land - usable,,,,04/07/2015,"4505 E 19th St
Kansas City, MO 64127
(39.088619, -94.530044)"
30-640-15-02-00-0-00-000,Residential Vacant,Acquired,KCMHA,R-6,2041 E 48TH TER,Kansas City,MO,64130.0,Jackson,Blue Hills,3rd,,KANSAS CITY MISSOURI 110,,N,2019,7000,4154.497708,Vacant lot or land - usable,,,,,"2041 E 48TH TER
Kansas City, MO 64130.0
(39.038401, -94.559632)"
JA31310020402100000,Residential Vacant,Acquired,Land Bank,R-2.5,No Address Assigned By City,Kansas City,MO,99999,Jackson,Palestine East,3rd,,Kansas City Missouri 110,,N,2019,2000,3570.402396,Vacant lot or land - little or no use,,,,,
JA29610301900000000,Residential Vacant,Disposed,Land Bank,R-1.5,2108 PARK AVE,Kansas City,MO,64109,Jackson,Wendell Phillips,3rd,05/16/2018,KANSAS CITY MISSOURI 110,"Assemblage, Infill construction",N,2015,1392,6388.219236,Vacant lot or land - usable,,,,,"2108 PARK AVE
Kansas City, MO 64109
(39.086284, -94.555513)"
JA28220281900000000,Residential Vacant,Acquired,Land Bank,R-2.5,4400 Cloon Ave,Kansas City,MO,64127,Jackson,Lykins,3rd,,Kansas City Missouri 110,Side Yard,N,2019,3550,3140.72989583,Vacant lot or land - usable,,,,,"4400 Cloon Ave
Kansas City, MO 64127
(39.100032, -94.530122)"
JA28810160300000000,Residential Vacant,Acquired,Land Bank,R-2.5,5621 E 28th Ter,Kansas City,MO,64128,Jackson,South Blue Valley,3rd,,Kansas City Missouri 110,,N,2019,4150,8963.866389,Vacant lot or land - little or no use,,,,,"5621 E 28th Ter
Kansas City, MO 64128
(39.073063, -94.516921)"
JA28120040400000000,Commercial Vacant,ACQUIRED,Land Bank,B3-2,6104 E 7th St,KANSAS CITY,MO,64125.0,JACKSON,Sheffield,4th,,KANSAS CITY MISSOURI 110,,N,2019,2900,2560.81,Vacant lot or land - usable,,,,,"6104 E 7th St
KANSAS CITY, MO 64125.0
(39.103657, -94.509707)"
JA31310061400000000,Residential Improved,Disposed,Land Bank,R-2.5,3531 ASKEW AVE,KANSAS CITY,MO,64128,JACKSON,Palestine West And Oak Park Northeast,3rd,08/18/2016,KANSAS CITY MISSOURI 110,,N,2015,56876,5218.008403,Structure - fair condition,,,,,"3531 ASKEW AVE
KANSAS CITY, MO 64128
(39.061062, -94.541762)"
JA28220272902000000,Residential Vacant,Acquired,Land Bank,R-2.5,916 Van Brunt Blvd,Kansas City,MO,64127,Jackson,Lykins,3rd,,Kansas City Missouri 110,Side Yard,N,2019,1400,1231.98079861,Vacant lot or land - usable,,,,,"916 Van Brunt Blvd
Kansas City, MO 64127
(39.101008, -94.526069)"
JA28220201600000000,Commercial Vacant,Disposed,Land Bank,B4-5,935 Jackson Ave,Kansas City,MO,64127,Jackson,Lykins,3rd,08/05/2016,Kansas City Missouri 110,Assemblage,N,2012,1480,4443.231181,Vacant lot or land - usable,,,,,"935 Jackson Ave
Kansas City, MO 64127
(39.10095, -94.533125)"
JA28530302200000000,Commercial Vacant,Acquired,Land Bank,B3-2,2640 Chelsea Ave,Kansas City,MO,64127,Jackson,East Community Team South,3rd,,Kansas City Missouri 110,Side Yard,N,2019,100,634.46260416,Vacant lot or land - little or no use,,,,,"2640 Chelsea Ave
Kansas City, MO 64127
(39.076274, -94.527309)"
JA28840200100000000,Residential Vacant,Acquired,Land Bank,R-2.5,3400 Drury Ave,Kansas City,MO,64128,Jackson,Dunbar,3rd,,Kansas City Missouri 110,,N,2019,2250,3996.127778,Vacant lot or land - usable,,,,02/26/2014,"3400 Drury Ave
Kansas City, MO 64128
(39.063586, -94.519882)"
JA31320321000000000,Residential Vacant,Disposed,Land Bank,R-2.5,3825  MONTGALL AVE,Kansas City,MO,64128,Jackson,Oak Park Northwest,3rd,08/06/2015,KANSAS CITY MISSOURI 110,,N,2014,1276,4105.500799,Vacant lot or land - usable,,,,,"3825  MONTGALL AVE
Kansas City, MO 64128
(39.056281, -94.55239)"
