Address,City,Council District,County,Date evaluated,Demo Needed,Formatted Address,Inventory Type,Location 1,Market Value,Market Value Year,Neighborhood,Number of Bedrooms,Number of Full Baths,Parcel Number,Postal Code,Potential Use,Property Class,Property Condition,Property Status,School District,Sold Date,Square Footage,State,Structure Square Footage,Zoned As,blockgroup_id,lat,lng,nbh_id,nbh_name,police_division,police_division_id
4120  BENTON BLVD,Kansas City,3rd,Jackson,05/13/2014,N,"4120 Benton Blvd, Kansas City, MO 64130, USA",Land Bank,"4120  BENTON BLVD
Kansas City, MO 64130
(39.050942, -94.546939)",27232.0,2014.0,Oak Park Southwest,3.0,1.0,JA31330172800000000,64130,Affordable Housing,Residential Improved,Structure - good condition,Disposed,KANSAS CITY MISSOURI 110,10/08/2015,5383.057326,MO,2547.0,R-2.5,290950061001,39.050869,-94.54701999999999,59,Oak Park Southwest,East,3
4617 Lawn Ave,Kansas City,3rd,Jackson,03/31/2014,N,"4617 Lawn Ave, Kansas City, MO 64130, USA",Land Bank,"4617 Lawn Ave
Kansas City, MO 64130
(39.041258, -94.530084)",15863.0,2012.0,Vineyard,,1.0,JA31520230700000000,64130,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,Kansas City Missouri 110,09/22/2017,7019.261667,MO,,R-2.5,290950171004,39.0412583,-94.5298315,49,Vineyard,East,3
4119 Tracy,Kansas City,3rd,Jackson,,N,"4119 Tracy Ave, Kansas City, MO 64110, USA",KCMHA,"4119 Tracy
Kansas City, MO 64110
(39.05169, -94.569869)",,,Manheim Park,,,JA30130221100000000,64110,Public Purpose,Residential Improved,Structure - severely distressed,Disposed,,02/11/2016,,MO,,,290950169001,39.0517018,-94.5697067,69,Manheim Park,Central,1
440 N WHEELING AVE,KANSAS CITY,4th,JACKSON,,N,"440 N Wheeling Ave, Kansas City, MO 64123, USA",KCMHA,"440 N WHEELING AVE
KANSAS CITY, MO 64123
(39.117216, -94.510298)",34307.0,2019.0,North Indian Mound,,1.0,JA13720092900000000,64123,,Residential Improved,Structure - severely distressed,Reserved,KANSAS CITY MISSOURI 110,02/07/2020,6955.911875,MO,,R-2.5,290950155002,39.1172438,-94.5105541,19,North Indian Mound,East,3
6904 E 19th,KANSAS CITY,3rd,JACKSON,,N,"6904 E 19th St, Kansas City, MO 64127, USA",Land Bank,,10950.0,2019.0,Central Blue Valley And Park Tower Gardens,,,JA28610121300000000,64127,,RESIDENTIAL VACANT,Awaiting evaluation,ACQUIRED,KANSAS CITY MISSOURI 110,,18799.11,MO,,R-2.5,290950022003,39.0884643,-94.5243933,29,East Community Team North,East,3
3426 Bales Ave,Kansas City,3rd,Jackson,,N,"3426 Bales Ave, Kansas City, MO 64128, USA",Land Bank,"3426 Bales Ave
Kansas City, MO 64128
(39.063138, -94.542854)",22126.0,2012.0,Palestine West And Oak Park Northeast,,,JA28940202600000000,64128,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,Kansas City Missouri 110,12/07/2017,6596.432188000001,MO,,R-2.5,290950057004,39.0631291,-94.543083,61,Palestine West And Oak Park Northeast,East,3
5104 E 39TH ST,KANSAS CITY,3rd,Jackson,08/28/2014,N,"5104 E 39th St, Kansas City, MO 64128, USA",Land Bank,"5104 E 39TH ST
KANSAS CITY, MO 64128
(39.055072, -94.524288)",24008.0,2012.0,Knoches Park,2.0,1.0,JA31210161200000000,64128,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,KANSAS CITY MISSOURI 110,07/01/2016,8478.21894,MO,980.0,R-2.5,290950058011,39.0552829,-94.52439489999999,64,Knoches Park,East,3
5209 HIGHLAND AVE,Kansas City,5th,Jackson,03/20/2014,N,"5209 Highland Ave, Kansas City, MO 64110, USA",KCMHA,"5209 HIGHLAND AVE
Kansas City, MO 64110.0
(39.032019, -94.565363)",24441.0,,Blue Hills,,1.0,30-720-12-04-00-0-00-000,64110,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,KANSAS CITY MISSOURI 110,07/15/2014,5369.214965,MO,,R-6,290950075001,39.0320147,-94.5650519,119,Blue Hills,Metro,2
2000 Benton Blvd,KANSAS CITY,3rd,JACKSON,,N,"2000 Benton Blvd, Kansas City, MO 64127, USA",Land Bank,"2000 Benton Blvd
KANSAS CITY, MO 64127.0
(39.087892, -94.549647)",3600.0,2019.0,Washington Wheatley,,,JA28420203700000000,64127,,RESIDENTIAL VACANT,Awaiting evaluation,ACQUIRED,KANSAS CITY MISSOURI 110,,5418.55,MO,,R-1.5,290950160002,39.087961,-94.5500069,28,Washington Wheatley,East,3
3806 MONTGALL AVE,KANSAS CITY,3rd,Jackson,04/08/2015,N,"3806 Montgall Ave, Kansas City, MO 64128, USA",Land Bank,"3806 MONTGALL AVE
KANSAS CITY, MO 64128
(39.056891, -94.552363)",15966.0,2019.0,Oak Park Northwest,3.0,1.0,JA31320333100000000,64128,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,KANSAS CITY MISSOURI 110,12/19/2019,3219.6859719999998,MO,1262.0,R-2.5,290950056022,39.0568983,-94.5526209,58,Oak Park Northwest,East,3
3221 E 29TH ST,Kansas City,3rd,Jackson,08/21/2014,Y,"3221 E 29th St, Kansas City, MO 64128, USA",Land Bank,"3221 E 29TH ST
Kansas City, MO 64128
(39.072426, -94.545032)",31351.0,2014.0,Santa Fe,4.0,2.0,JA28920130700000000,64128,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,KANSAS CITY MISSOURI 110,07/17/2015,7741.958993000001,MO,1590.0,R-5,290950038002,39.07218779999999,-94.5451375,57,Santa Fe,East,3
3302 E 22ND ST,Kansas City,3rd,Jackson,,Y,"3302 E 22nd St, Kansas City, MO 64127, USA",Land Bank,"3302 E 22ND ST
Kansas City, MO 64127
(39.085377, -94.544515)",22780.0,2012.0,Washington Wheatley,,1.0,JA28420311200000000,64127,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,Kansas City Missouri 110,12/28/2017,6804.966042,MO,,R-2.5,290950160002,39.0855689,-94.5444172,28,Washington Wheatley,East,3
1806 E 67TH ST,KANSAS CITY,5th,Jackson,,N,"1806 E 67th St, Kansas City, MO 64132, USA",Land Bank,"1806 E 67TH ST
KANSAS CITY, MO 64132
(39.00563, -94.56535)",19100.0,2012.0,Neighbors United For Action,,,JA47140050700000000,64132,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,KANSAS CITY MISSOURI 110,11/04/2015,4793.15934,MO,,R-5,290950087002,39.0058794,-94.5653038,121,Neighbors United For Action,Metro,2
5546 WABASH AVE,KANSAS CITY,5th,JACKSON,,N,"5546 Wabash Ave, Kansas City, MO 64130, USA",Land Bank,"5546 WABASH AVE
KANSAS CITY, MO 64130
(39.024932, -94.55643)",6000.0,2019.0,Blue Hills,,,JA30740022000000000,64130,,Residential Vacant,Awaiting evaluation,Acquired,KANSAS CITY MISSOURI 110,,4550.52892361,MO,,R-6,290950080002,39.025004,-94.55677,119,Blue Hills,Metro,2
616 INDIANA AVE,KANSAS CITY,3rd,JACKSON,,N,"616 Indiana Ave, Kansas City, MO 64124, USA",Land Bank,"616 INDIANA AVE
KANSAS CITY, MO 64124
(39.105205, -94.541869)",2850.0,2019.0,Lykins,,,JA28320013200000000,64124,,Residential Vacant,Awaiting evaluation,Disposed,KANSAS CITY MISSOURI 110,02/24/2020,6417.329583,MO,,R-2.5,290950018001,39.105239,-94.54209399999999,17,Lykins,East,3
3416 Park Ave,Kansas City,3rd,Jackson,03/05/2015,N,"3416 Park Ave, Kansas City, MO 64109, USA",Land Bank,"3416 Park Ave
Kansas City, MO 64109
(39.063932, -94.55662)",22695.0,2012.0,Key Coalition,,2.0,JA29740293400000000,64109,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,Kansas City Missouri 110,03/09/2017,4020.7756600000002,MO,,R-1.5,290950054001,39.06394,-94.5568907,56,Key Coalition,Central,1
3208 Spruce Ave,KANSAS CITY,3rd,JACKSON,,N,"3208 Spruce Ave, Kansas City, MO 64128, USA",Land Bank,"3208 Spruce Ave
KANSAS CITY, MO 64128
(39.066946, -94.533405)",25979.0,2019.0,Knoches Park,2.0,1.0,JA28830102500000000,64128,,RESIDENTIAL IMPROVED,Structure - fair condition,ACQUIRED,KANSAS CITY MISSOURI 110,,5459.71,MO,750.0,R-1.5,290950058012,39.0669883,-94.5336576,64,Knoches Park,East,3
3236 Garfield Ave,Kansas City,3rd,Jackson,02/20/2015,N,"3236 Garfield Ave, Kansas City, MO 64109, USA",Land Bank,"3236 Garfield Ave
Kansas City, MO 64109
(39.066745, -94.558794)",24720.0,2012.0,Key Coalition,3.0,1.0,JA29740111500000000,64109,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,Kansas City Missouri 110,11/29/2017,6652.083507,MO,1426.0,R-2.5,290950054001,39.0668538,-94.5590376,56,Key Coalition,Central,1
3810 E 28th Ter,KANSAS CITY,3rd,JACKSON,,N,"3810 E 28 Terrace, Kansas City, MO 64128, USA",Land Bank,"3810 E 28th Ter
KANSAS CITY, MO 64128
(39.073814, -94.538108)",32306.0,2019.0,Ingleside,5.0,1.0,JA28910130300000000,64128,,Residential Improved,Structure - severely distressed,Target,KANSAS CITY MISSOURI 110,,2281.62,MO,2244.0,R-2.5,290950165002,39.074002,-94.5381687,63,Ingleside,East,3
6830 Bellefontaine Ave,Kansas City,5th,Jackson,,N,"6830 Bellefontaine Ave, Kansas City, MO 64132, USA",Land Bank,"6830 Bellefontaine Ave
Kansas City, MO 64132
(39.002061, -94.550858)",16407.0,2012.0,Self Help Neighborhood Council,,1.0,JA46420132700000000,64132,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,Kansas City Missouri 110,06/07/2018,5019.690347,MO,,R-5,290950088003,39.00205950000001,-94.5511806,124,Self Help Neighborhood Council,Metro,2
4222 SPRUCE AVE,KANSAS CITY,3rd,JACKSON,,N,"4222 Spruce Ave, Kansas City, MO 64130, USA",Land Bank,"4222 SPRUCE AVE
KANSAS CITY, MO 64130
(39.048885, -94.534234)",23978.0,2019.0,Vineyard Northwest,,1.0,JA31230193700000000,64130,,Residential Improved,Structure - severely distressed,Target,KANSAS CITY MISSOURI 110,,4145.642292,MO,,R-2.5,290950171004,39.048758,-94.5344631,48,Vineyard Northwest,East,3
3512 INDEPENDENCE AVE,Kansas City,4th,Jackson,,Y,"3512 Independence Ave, Kansas City, MO 64124, USA",Land Bank,"3512 INDEPENDENCE AVE
Kansas City, MO 64127
(39.105919, -94.539804)",110924.0,2015.0,Scarritt Point,,,JA13940371400000000,64124,Affordable Housing,Residential Improved,Structure - severely distressed,Disposed,KANSAS CITY MISSOURI 110,08/01/2016,6315.167847,MO,,B3-2,290950009004,39.1061549,-94.5398403,18,Scarritt Point,East,3
3010 ASKEW AVE,KANSAS CITY,3rd,Jackson,04/11/2014,N,"3010 Askew Ave, Kansas City, MO 64128, USA",Land Bank,"3010 ASKEW AVE
KANSAS CITY, MO 64128
(39.070795, -94.541297)",15718.0,2012.0,Ingleside,2.0,1.0,JA28910322900000000,64128,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,KANSAS CITY MISSOURI 110,09/28/2015,4651.358993,MO,1192.0,R-2.5,290950165002,39.070862,-94.5416329,63,Ingleside,East,3
2412 Spruce Ave,Kansas City,3rd,Jackson,03/19/2015,N,"2412 Spruce Ave, Kansas City, MO 64127, USA",Land Bank,"2412 Spruce Ave
Kansas City, MO 64127
(39.081623, -94.53279)",17995.0,2012.0,East Community Team South,2.0,1.0,JA28530103500000000,64127,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,Kansas City Missouri 110,06/14/2018,4146.367257,MO,1005.0,R-2.5,290950034004,39.08171189999999,-94.5330937,30,East Community Team South,East,3
1819 E 67TH TER,Kansas City,5th,Jackson,,N,"1819 E 67th Terrace, Kansas City, MO 64132, USA",Land Bank,"1819 E 67TH TER
Kansas City, MO 64125
(39.004702, -94.564819)",28356.0,2015.0,Neighbors United For Action,,,JA47610040900000000,64132,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,KANSAS CITY MISSOURI 110,01/19/2017,5549.483958,MO,,R-5,290950087002,39.0045371,-94.5648001,121,Neighbors United For Action,Metro,2
7220 College Ave,KANSAS CITY,5th,JACKSON,,N,"7220 College Ave, Kansas City, MO 64132, USA",Land Bank,"7220 College Ave
KANSAS CITY, MO 64132.0
(38.995131, -94.548887)",8150.0,2019.0,Noble And Gregory Ridge,,,JA46430153300000000,64132,,RESIDENTIAL VACANT,Awaiting evaluation,ACQUIRED,KANSAS CITY MISSOURI 110,,5592.33,MO,,R-5,290950089002,38.995142,-94.549213,126,Noble And Gregory Ridge,Metro,2
4916 E Linwood Blvd,KANSAS CITY,3RD,JACKSON,,N,"4916 Linwood Blvd, Kansas City, MO 64128, USA",LAND BANK,"4916 E Linwood Blvd
KANSAS CITY, MO 64113
(39.06735, -94.527109)",22524.0,2019.0,Knoches Park,2.0,1.0,28-830-03-21-00-0-00-000,64128,,Residential Improved,Structure - fair condition,Target,KANSAS CITY MISSOURI 110,,4066.85,MO,,R-1.5,290950058013,39.0676053,-94.52717349999999,64,Knoches Park,East,3
2629 Jackson Ave,Kansas City,3rd,Jackson,,N,"2629 Jackson Ave, Kansas City, MO 64127, USA",Land Bank,"2629 Jackson Ave
Kansas City, MO 64127
(39.077323, -94.534055)",7637.0,2012.0,East Community Team South,,,JA28530241100000000,64127,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,Kansas City Missouri 110,04/11/2018,3096.088507,MO,,R-2.5,290950034004,39.0772183,-94.5337784,30,East Community Team South,East,3
4010  WOODLAND AVE,Kansas City,3rd,Jackson,04/08/2015,N,"4010 Woodland Ave, Kansas City, MO 64110, USA",Land Bank,"4010  WOODLAND AVE
Kansas City, MO 64110
(39.053519, -94.562988)",9649.0,2014.0,Ivanhoe Southwest,3.0,1.0,JA30130163000000000,64110,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,KANSAS CITY MISSOURI 110,08/21/2017,3948.747882,MO,770.0,R-2.5,290950169002,39.0535714,-94.56318809999999,53,Ivanhoe Southwest,Central,1
419 Bales Ave,Kansas City,4th,Jackson,,Y,"419 Bales Ave, Kansas City, MO 64124, USA",Land Bank,"419 Bales Ave
Kansas City, MO 64124
(39.108853, -94.540342)",18654.0,2012.0,Scarritt Point,,,JA13940231200000000,64124,,Residential Improved,Structure - fair condition,Disposed,Kansas City Missouri 110,12/20/2013,2142.7558329999997,MO,,R-2.5,290950009002,39.1088409,-94.5401827,18,Scarritt Point,East,3
3834 E 56th St,Kansas City,5th,Jackson,04/02/2014,N,"3834 E 56th St, Kansas City, MO 64130, USA",Land Bank,"3834 E 56th St
Kansas City, MO 64130
(39.024184, -94.539722)",23854.0,2012.0,Swope Parkway-Elmwood,2.0,1.0,JA31940031100000000,64130,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,Kansas City Missouri 110,11/14/2019,7432.244618000001,MO,1202.0,R-2.5,290950079001,39.0243746,-94.53973959999999,116,Swope Parkway-Elmwood,Metro,2
801 UTLEY AVE,KANSAS CITY,4th,Jackson,06/19/2014,N,"801 Utley Ave, Kansas City, MO 64125, USA",Land Bank,"801 UTLEY AVE
KANSAS CITY, MO 64125
(39.100636, -94.482632)",14220.0,2012.0,North Blue Ridge,2.0,1.0,JA27310043300000000,64125,Affordable Housing,Residential Improved,Structure - severely distressed,Disposed,KANSAS CITY MISSOURI 110,10/16/2018,5175.1620490000005,MO,627.0,R-2.5,290950155001,39.1006393,-94.4824103,22,North Blue Ridge,East,3
3933 SOUTH BENTON AVE,Kansas City,3rd,Jackson,01/06/2016,N,"3933 S Benton Ave, Kansas City, MO 64130, USA",Land Bank,"3933 SOUTH BENTON AVE
Kansas City, MO 64130
(39.054129, -94.550205)",29070.0,2015.0,Oak Park Southwest,3.0,1.0,JA31330051600000000,64130,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,KANSAS CITY MISSOURI 110,06/06/2018,3944.093299,MO,1258.0,R-2.5,290950061001,39.0541183,-94.54994169999999,59,Oak Park Southwest,East,3
NO ADDRESS ASSIGNED BY CITY,KANSAS CITY,6th,JACKSON,,N,"Kansas City, MO, USA",Land Bank,,10400.0,2019.0,Hickman Mills South,,,JA49740011800000000,64132,,Residential Vacant,Awaiting evaluation,Acquired,HICKMAN MILLS 140,,11058.7528819,MO,,R-7.5,290950159001,39.0997265,-94.5785667,4,CBD Downtown,Central,1
4331 TRACY AVE,Kansas City,3rd,Jackson,,N,"4331 Tracy Ave, Kansas City, MO 64110, USA",KCMHA,"4331 TRACY AVE
Kansas City, MO 64110.0
(39.047658, -94.57007)",2655.0,2013.0,Manheim Park,,1.0,30-620-06-13-00-0-00-000,64110,Affordable Housing,Residential Vacant,Structure - fair condition,Disposed,KANSAS CITY MISSOURI 110,06/06/2014,3943.2853130000003,MO,,R-1.5,290950063001,39.0476676,-94.56975709999999,69,Manheim Park,Central,1
3514 Agnes Ave,Kansas City,3rd,Jackson,,Y,"3514 Agnes Ave, Kansas City, MO 64128, USA",Land Bank,"3514 Agnes Ave
Kansas City, MO 64128
(39.062087, -94.548611)",16249.0,2012.0,Oak Park Northwest,4.0,1.0,JA31320053700000000,64128,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,Kansas City Missouri 110,10/09/2019,3998.6051039999998,MO,1427.0,R-2.5,290950056022,39.0620894,-94.54892439999999,58,Oak Park Northwest,East,3
7809 E 67TH ST,KANSAS CITY,5th,JACKSON,,N,"7809 E 67th St, Kansas City, MO 64133, USA",Land Bank,"7809 E 67TH ST
KANSAS CITY, MO 64133
(39.002839, -94.495686)",13500.0,2019.0,East Swope Highlands,,,JA45420022701000000,64133,,Residential Vacant,Awaiting evaluation,Acquired,RAYTOWN 150,,6268.09541667,MO,,R-7.5,290950175003,39.002468,-94.4957079,134,East Swope Highlands,Metro,2
6726 ASKEW AVE,Kansas City,5th,Jackson,12/04/2015,N,"6726 Askew Ave, Kansas City, MO 64132, USA",Land Bank,"6726 ASKEW AVE
Kansas City, MO 64132
(39.003775, -94.544977)",14034.0,2015.0,Self Help Neighborhood Council,1.0,1.0,JA46410052300000000,64132,Affordable Housing,Residential Improved,Structure - fair condition,Disposed,KANSAS CITY MISSOURI 110,01/05/2016,7038.898611,MO,589.0,R-5,290950088005,39.0038056,-94.5452282,124,Self Help Neighborhood Council,Metro,2
5502 WABASH AVE,KANSAS CITY,5th,JACKSON,,N,"5502 Wabash Ave, Kansas City, MO 64130, USA",Land Bank,"5502 WABASH AVE
KANSAS CITY, MO 64130
(39.02639, -94.556351)",385.0,2015.0,Blue Hills,,,JA30740024200000000,64130,Urban Agriculture,Residential Vacant,Awaiting evaluation,Disposed,KANSAS CITY MISSOURI 110,12/28/2017,3299.2182989999997,MO,,R-6,290950080002,39.0264,-94.556669,119,Blue Hills,Metro,2
